year,quarter,entity_type,entity_name,rank,type,count,amount,state
2022,2,state,Andhra Pradesh,8,TOTAL,32185,41708072.0,
2022,2,state,Delhi,9,TOTAL,26378,31787281.0,
2022,2,state,Gujarat,10,TOTAL,25381,32090965.0,
2022,2,district,Bengaluru Urban,1,TOTAL,57934,69731242.0,
2022,2,district,Pune,2,TOTAL,18712,24072589.0,
2022,2,district,Thane,3,TOTAL,12306,14514282.0,
2022,2,district,Rangareddy,4,TOTAL,10065,13653367.0,
2022,2,district,Mumbai Suburban,5,TOTAL,9944,10743651.0,
2022,2,district,Hyderabad,6,TOTAL,9542,11365866.0,
2022,2,district,Chennai,7,TOTAL,8966,9428379.0,
2022,2,district,Medchal Malkajgiri,8,TOTAL,8919,11248856.0,
2022,2,district,Jaipur,9,TOTAL,7224,9069667.0,
2022,2,district,Ahmadabad,10,TOTAL,6962,8565312.0,
2022,2,pincode,560068,1,TOTAL,2692,3077564.0,
2022,2,pincode,560037,2,TOTAL,1860,2052163.0,
2022,2,pincode,560078,3,TOTAL,1844,2105323.0,
2022,2,pincode,560076,4,TOTAL,1835,2129897.0,
2022,2,pincode,500072,5,TOTAL,1794,2115388.0,
2022,2,pincode,560043,6,TOTAL,1755,2171198.0,
2022,2,pincode,560091,7,TOTAL,1405,1565112.0,
2022,2,pincode,560100,8,TOTAL,1389,1710571.0,
2022,2,pincode,201301,9,TOTAL,1312,1413747.0,
2022,2,pincode,203001,10,TOTAL,1297,774861.0,
2022,3,state,Karnataka,1,TOTAL,110273,144605784.0,
2022,3,state,Maharashtra,2,TOTAL,90958,113835208.0,
2022,3,state,Uttar Pradesh,3,TOTAL,64514,87703512.0,
2022,3,state,Tamil Nadu,4,TOTAL,64356,79747520.0,
2022,3,state,Kerala,5,TOTAL,54587,85390924.0,
2022,3,state,Telangana,6,TOTAL,51465,64798126.0,
2022,3,state,West Bengal,7,TOTAL,47853,59092307.0,
2022,3,state,Andhra Pradesh,8,TOTAL,39301,48791931.0,
2022,3,state,Delhi,9,TOTAL,35944,41570160.0,
2022,3,state,Haryana,10,TOTAL,35346,45402800.0,
2022,3,district,Bengaluru Urban,1,TOTAL,64593,79303480.0,
2022,3,district,Pune,2,TOTAL,19899,24823260.0,
2022,3,district,Thane,3,TOTAL,13402,15693837.0,
2022,3,district,Chennai,4,TOTAL,12059,12069618.0,
2022,3,district,Rangareddy,5,TOTAL,11801,15523643.0,
2022,3,district,Mumbai Suburban,6,TOTAL,11136,11840245.0,
2022,3,district,Hyderabad,7,TOTAL,10560,12374531.0,
2022,3,district,Medchal Malkajgiri,8,TOTAL,10158,12806190.0,
2022,3,district,Gurugram,9,TOTAL,10085,10744733.0,
2022,3,district,Jaipur,10,TOTAL,9778,11871696.0,
2022,3,pincode,560068,1,TOTAL,2861,3528404.0,
2022,3,pincode,500072,2,TOTAL,2176,2594114.0,
2022,3,pincode,560037,3,TOTAL,2120,2606805.0,
2022,3,pincode,560043,4,TOTAL,2030,2571392.0,
2022,3,pincode,560076,5,TOTAL,1945,2478555.0,
2022,3,pincode,122001,6,TOTAL,1932,1913882.0,
2022,3,pincode,560078,7,TOTAL,1912,2228186.0,
2022,3,pincode,201301,8,TOTAL,1886,1908594.0,
2022,3,pincode,560058,9,TOTAL,1610,1917287.0,
2022,3,pincode,560091,10,TOTAL,1561,1858018.0,
2022,4,state,Karnataka,1,TOTAL,133971,185063287.0,
2022,4,state,Maharashtra,2,TOTAL,125900,174915648.0,
2022,4,state,Tamil Nadu,3,TOTAL,125491,146457790.0,
2022,4,state,Uttar Pradesh,4,TOTAL,77022,116755813.0,
2022,4,state,Kerala,5,TOTAL,65563,103982997.0,
2022,4,state,Telangana,6,TOTAL,64655,88544127.0,
2022,4,state,West Bengal,7,TOTAL,54277,70466433.0,
2022,4,state,Delhi,8,TOTAL,48908,60603173.0,
2022,4,state,Andhra Pradesh,9,TOTAL,44329,58043239.0,
2022,4,state,Rajasthan,10,TOTAL,40926,60792838.0,
2022,4,district,Bengaluru Urban,1,TOTAL,78817,101938016.0,
2022,4,district,Pune,2,TOTAL,27018,38292195.0,
2022,4,district,Chennai,3,TOTAL,21588,21184965.0,
2022,4,district,Thane,4,TOTAL,20282,24614041.0,
2022,4,district,Mumbai Suburban,5,TOTAL,16192,18884324.0,
2022,4,district,Rangareddy,6,TOTAL,15005,21565381.0,
2022,4,district,Thiruvallur,7,TOTAL,14602,15650997.0,
2022,4,district,Medchal Malkajgiri,8,TOTAL,12852,17986714.0,
2022,4,district,Hyderabad,9,TOTAL,12819,15945642.0,
2022,4,district,Coimbatore,10,TOTAL,12780,15595276.0,
2022,4,pincode,560068,1,TOTAL,3419,4310528.0,
