year,quarter,entity_type,entity_name,rank,type,count,amount,state
2022,4,pincode,411033,3,TOTAL,263248580,298971294541.89966,
2022,4,pincode,110006,4,TOTAL,258183697,349487194869.16797,
2022,4,pincode,302012,5,TOTAL,255709582,401447081116.4074,
2022,4,pincode,480001,6,TOTAL,240053791,341860974379.64307,
2022,4,pincode,400070,7,TOTAL,180508440,226320223720.0673,
2022,4,pincode,800001,8,TOTAL,167166031,269652534972.60126,
2022,4,pincode,751001,9,TOTAL,140210762,184650659638.9054,
2022,4,pincode,700039,10,TOTAL,119193886,219834107643.85355,
2023,1,state,Maharashtra,1,TOTAL,1848268499,2362285906059.0,
2023,1,state,Karnataka,2,TOTAL,1844697189,2470227226317.0,
2023,1,state,Telangana,3,TOTAL,1440331458,2372581734284.0,
2023,1,state,Andhra Pradesh,4,TOTAL,1145532464,2249051316530.0,
2023,1,state,Uttar Pradesh,5,TOTAL,1002557722,1636936265372.0,
2023,1,state,Rajasthan,6,TOTAL,921096686,1554913375850.0,
2023,1,state,Madhya Pradesh,7,TOTAL,734566970,1062026599901.0,
2023,1,state,Bihar,8,TOTAL,547831195,1039276959944.0,
2023,1,state,Odisha,9,TOTAL,482896088,753968977663.0,
2023,1,state,Tamil Nadu,10,TOTAL,461212387,715583673518.0,
2023,1,district,Bengaluru Urban,1,TOTAL,1012347596,1167307214747.0,
2023,1,district,Pune,2,TOTAL,505841046,489824129517.0,
2023,1,district,Rangareddy,3,TOTAL,329344012,487359310308.0,
2023,1,district,Hyderabad,4,TOTAL,286887382,415188829698.0,
2023,1,district,Medchal Malkajgiri,5,TOTAL,256028955,382423152200.0,
2023,1,district,Jaipur,6,TOTAL,250101628,383391511211.0,
2023,1,district,Visakhapatnam,7,TOTAL,164358781,277211090180.0,
2023,1,district,Thane,8,TOTAL,142097640,164652846524.0,
2023,1,district,Gurugram,9,TOTAL,139674963,149429170153.0,
2023,1,district,Gautam Buddha Nagar,10,TOTAL,130607154,135979906082.0,
2023,1,pincode,500072,1,TOTAL,48884911,69139644856.0,
2023,1,pincode,560068,2,TOTAL,48544078,49093973079.0,
2023,1,pincode,560037,3,TOTAL,36487467,39147776972.0,
2023,1,pincode,201301,4,TOTAL,34429152,30542090341.0,
2023,1,pincode,560076,5,TOTAL,31427375,31972479780.0,
2023,1,pincode,500081,6,TOTAL,31374325,36780272643.0,
2023,1,pincode,560078,7,TOTAL,30074920,33530112337.0,
2023,1,pincode,500032,8,TOTAL,28718299,32875192612.0,
2023,1,pincode,560100,9,TOTAL,27670041,26852310085.0,
2023,1,pincode,560043,10,TOTAL,27613832,31447437376.0,
2023,2,state,Karnataka,1,TOTAL,2067867526,2777599098830.0,
2023,2,state,Maharashtra,2,TOTAL,2063717848,2606004606468.0,
2023,2,state,Telangana,3,TOTAL,1665430971,2698149935008.0,
2023,2,state,Andhra Pradesh,4,TOTAL,1305656964,2506039086916.0,
2023,2,state,Uttar Pradesh,5,TOTAL,1211410582,1836622076526.0,
2023,2,state,Rajasthan,6,TOTAL,1073459338,1698455586300.0,
2023,2,state,Madhya Pradesh,7,TOTAL,848037060,1202440949508.0,
2023,2,state,Bihar,8,TOTAL,683933094,1226046745390.0,
